[DEBUG] IP deste peer: 127.0.0.1, porta: 5000
[DEBUG] Lista bruta de vizinhos: 127.0.0.1:5001
[DEBUG] Lista final de vizinhos: [('127.0.0.1', 5001)]
[DEBUG] Modo seed: True
[Seeder] Arquivo 'file_C_20M.bin' carregado: 20480 blocos, SHA256=a2103131d080150bc68356d0ef2d02993a8cec674443d04e9ecceeab732bc1d3
[Seeder] Aguardando conex�es de leechers para o arquivo 'file_C_20M.bin'...
[Seeder] Pressione Ctrl+C para encerrar
[Servidor] Ouvindo em 127.0.0.1:5000
[Servidor] Enviado bloco 1925 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 17155 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 10811 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 13654 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 202 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 13953 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 8676 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 13003 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 7965 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 12435 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 14402 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 3068 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 513 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 14392 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 3842 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 7040 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 18982 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 5513 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 17914 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 18426 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 20071 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 19050 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 14906 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 12676 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 15335 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 13929 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 12935 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 10978 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 10343 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 20442 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 17054 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 9388 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 2538 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 8280 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 7464 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 1690 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 13342 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 11812 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 10205 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 6160 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 19214 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 15069 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 2894 (1024 B) para ('127.0.0.1', 60935)
