[DEBUG] IP deste peer: 127.0.0.1, porta: 5001
[DEBUG] Lista bruta de vizinhos: 127.0.0.1:5000
[DEBUG] Lista final de vizinhos: [('127.0.0.1', 5000)]
[DEBUG] Modo seed: False
[Servidor] Ouvindo em 127.0.0.1:5001
[Cliente] Conectado a 127.0.0.1:5000
[Cliente] Bloco 7464 recebido de 127.0.0.1:5000 (322/20480)
[Cliente] Bloco 1690 recebido de 127.0.0.1:5000 (323/20480)
[Cliente] Bloco 13342 recebido de 127.0.0.1:5000 (324/20480)
[Cliente] Bloco 11812 recebido de 127.0.0.1:5000 (325/20480)
[Cliente] Bloco 10205 recebido de 127.0.0.1:5000 (326/20480)
[Cliente] Bloco 6160 recebido de 127.0.0.1:5000 (327/20480)
[Cliente] Bloco 19214 recebido de 127.0.0.1:5000 (328/20480)
[Cliente] Bloco 15069 recebido de 127.0.0.1:5000 (329/20480)
[Cliente] Bloco 2894 recebido de 127.0.0.1:5000 (330/20480)
[Cliente] Bloco 4026 recebido de 127.0.0.1:5000 (331/20480)
[Cliente] Bloco 482 recebido de 127.0.0.1:5000 (332/20480)
[Cliente] Bloco 6908 recebido de 127.0.0.1:5000 (333/20480)
[Cliente] Bloco 14485 recebido de 127.0.0.1:5000 (334/20480)
[Cliente] Bloco 7541 recebido de 127.0.0.1:5000 (335/20480)
[Cliente] Bloco 15448 recebido de 127.0.0.1:5000 (336/20480)
[Cliente] Bloco 6447 recebido de 127.0.0.1:5000 (337/20480)
[Cliente] Bloco 8837 recebido de 127.0.0.1:5000 (338/20480)
[Cliente] Bloco 1118 recebido de 127.0.0.1:5000 (339/20480)
[Cliente] Bloco 18437 recebido de 127.0.0.1:5000 (340/20480)
[Cliente] Bloco 10866 recebido de 127.0.0.1:5000 (341/20480)
[Cliente] Bloco 8641 recebido de 127.0.0.1:5000 (342/20480)
[Cliente] Bloco 1400 recebido de 127.0.0.1:5000 (343/20480)
[Cliente] Bloco 6630 recebido de 127.0.0.1:5000 (344/20480)
[Cliente] Bloco 20135 recebido de 127.0.0.1:5000 (345/20480)
[Cliente] Bloco 11688 recebido de 127.0.0.1:5000 (346/20480)
[Cliente] Bloco 10177 recebido de 127.0.0.1:5000 (347/20480)
[Cliente] Bloco 19401 recebido de 127.0.0.1:5000 (348/20480)
[Cliente] Bloco 8176 recebido de 127.0.0.1:5000 (349/20480)
[Cliente] Bloco 9935 recebido de 127.0.0.1:5000 (350/20480)
[Cliente] Bloco 12980 recebido de 127.0.0.1:5000 (351/20480)
[Cliente] Bloco 7947 recebido de 127.0.0.1:5000 (352/20480)
[Cliente] Bloco 2202 recebido de 127.0.0.1:5000 (353/20480)
[Cliente] Bloco 12539 recebido de 127.0.0.1:5000 (354/20480)
[Cliente] Bloco 1754 recebido de 127.0.0.1:5000 (355/20480)
[Cliente] Bloco 16903 recebido de 127.0.0.1:5000 (356/20480)
[Cliente] Bloco 6660 recebido de 127.0.0.1:5000 (357/20480)
[Cliente] Bloco 19710 recebido de 127.0.0.1:5000 (358/20480)
[Cliente] Bloco 3819 recebido de 127.0.0.1:5000 (359/20480)
